procs,sim_time1,sim_time2,sim_time3,sim_time4,sim_time5,sim_time6,mpi_time1,mpi_time2,mpi_time3,mpi_time4,mpi_time5,mpi_time6,max_error,l2_error
2.0,0.32916153,0.28897037799999997,0.28776162499999997,0.288281599,0.288805434,0.28770317799999995,1.8324177039999998,0.023177383000000003,0.023227645999999998,0.023062346,0.023034128999999997,0.023088136999999998,0.20295045355596564,0.04545282980840391
4.0,0.128233175,0.14962271200000002,0.116275935,0.11601940100000001,0.115814525,0.11644752099999998,4.48091159,0.016671711,0.016185058999999998,0.022036939,0.016204951000000002,0.016123752999999998,0.20295045355596564,0.06315469936434662
8.0,0.053191922,0.048428551,0.04903993100000001,0.049079013,0.050102726000000014,0.04925406200000001,5.029261316,0.014607275999999999,0.014502830000000001,0.014798279000000001,0.049903721,0.014681798999999997,0.20295045355596564,0.061440411258421514
16.0,0.026568104,0.023200492999999996,0.023710858000000005,0.023141510000000004,0.023162363,0.023220196999999998,6.009485274,0.02866401,0.043563433,0.013511391,0.013385761000000003,0.029373782,0.20295045355596564,0.08291545451433797
32.0,0.016014812,0.014660758,0.014534759999999999,0.014756362000000002,0.014610999999999999,0.014858752999999999,5.992897781,0.01149129,0.011666522,0.011393509999999999,0.011454077,0.011301191,0.20295045355596564,0.0927319364695077
64.0,0.008466621,0.007241029999999999,0.0070223840000000004,0.006989619000000002,0.007409501,0.007008044000000001,6.1422871049999985,0.009432012,0.009288077,0.009479025,0.048287927,0.009419189000000001,0.20295045355596564,0.11667622016065148
128.0,0.003838513,0.002936546,0.002910279,0.0029511610000000003,0.0029164050000000004,0.0031839729999999997,6.923075997000001,0.009307841,0.009586183,0.009548444,0.051778383,0.009372680000000001,0.1740630102559248,0.0853011907821428
256.0,0.0015168069999999998,0.0013611220000000002,0.0013210580000000002,0.0012876790000000001,0.0013476310000000002,0.001484681,5.757837207000001,0.013453099,0.012834706,0.012564342000000003,0.051455988,0.047142747,0.1740630102559248,0.09673805208150729
512.0,0.000968887,0.0009206619999999999,0.000904104,0.000870811,0.0008786000000000001,0.000887093,5.609177300000001,0.013115385,0.012294936999999999,0.012175274000000002,0.016956427000000003,0.032775212000000005,0.11848984886573888,0.06549055903686744
1024.0,0.000539276,0.000453651,0.00043415999999999995,0.000442221,0.000439794,0.00041889900000000003,8.623263227000002,0.039933847,0.041674192,0.01898988,0.018179154000000003,0.018266203999999998,0.11848984886573888,0.0691564325103239
