procs,sim_time1,sim_time2,sim_time3,sim_time4,sim_time5,sim_time6,mpi_time1,mpi_time2,mpi_time3,mpi_time4,mpi_time5,mpi_time6,max_error,l2_error
1.0,11.851413623000001,11.726343505000001,12.342827542,11.997536666,11.954655983,12.62682723,0.0,0.0,0.0,0.0,0.0,0.0,0.00010510120954526642,2.352533361932416e-5
2.0,5.5580738169999995,5.550164661999999,5.605617667,5.5469981189999995,5.538562167,5.623950896,2.562219908,0.028716381,0.06758658899999999,0.061400255,0.050806307999999994,0.063925121,0.00010510120954526642,3.303583301727169e-5
4.0,2.774168806,2.709694635,2.702941285,2.69949168,2.709291649,2.718456836,3.140981805000001,0.274479918,0.23176170000000001,0.068521108,0.08798880699999997,0.24862275899999997,1.591181298508214e-5,3.748077072659883e-6
8.0,1.3955863099999999,1.852166253,1.8587995199999998,1.8719149970000002,1.858548792,1.848674562,3.2526637959999993,0.025806714,0.4058083100000001,0.29818445299999996,0.16497313800000002,0.025978496,1.6682742412735903e-5,3.834162066685583e-6
16.0,0.616907762,0.615711641,0.6181347130000001,1.022306545,0.614741917,0.618509374,3.1334214959999995,0.166661506,0.165825223,0.151321471,0.15775988200000002,0.171431732,6.964015765088615e-5,1.1375621013852654e-5
32.0,0.363064149,0.35972792499999995,0.36435065699999997,0.3625573609999999,0.361607748,0.361462736,3.068732397,0.08216061300000001,0.093739039,0.15052834099999998,0.082631623,0.11873705300000001,7.432418219525254e-6,2.6134328566414445e-6
64.0,0.18667709600000001,0.18433327799999996,0.185500489,0.18294213800000003,0.18248624800000005,0.209852366,3.3120509460000003,0.07948488599999999,0.157765502,0.071556278,0.059456622,0.08865460700000001,1.1383099550209523e-5,2.9723619512386175e-6
128.0,0.112248718,0.131808757,0.10206491900000002,0.101296114,0.10271977099999999,0.09829752500000001,3.174084693,0.044968674,0.10747335400000001,0.18745082,0.136067654,0.09963858699999999,0.00014737280860446767,4.949294313803462e-5
256.0,0.061897117999999994,0.052928909999999996,0.052284626,0.05253258400000001,0.09195355899999999,0.051522936000000005,3.591481249,0.121542353,0.041826124,0.257612051,0.058418829000000005,0.13852721299999998,0.00014333757691368187,3.7472430979883654e-5
512.0,0.029152757999999997,0.026469816000000004,0.026240672999999996,0.026344964,0.045147809,0.052188301000000006,3.931006363,0.09649890200000001,0.078020736,0.082808732,0.06907281700000001,0.035858475,9.301810749281957e-6,4.340887721542961e-6
1024.0,0.014614031999999999,0.014158702,0.014470084,0.014432961999999999,0.014113062999999999,0.013936285,4.258872946000001,0.216970326,0.144033854,0.16967626899999996,0.1565994,0.40904287300000003,8.031563687184015e-6,4.045718285415907e-6
2048.0,0.009425136,0.009085062,0.009101071,0.009134856000000002,0.008896418,0.008734716,3.578967821,0.22335119099999998,0.23763589999999998,0.21065716999999995,0.194282727,0.24619923400000002,4.2930291719751786e-5,1.8135845550988864e-5
4096.0,0.006425243000000001,0.005945616000000001,0.0061248,0.006101545999999999,0.005980116999999999,0.0060549620000000005,3.915079231999999,0.257042182,0.3717711020000001,0.29192697300000003,0.35408982799999994,0.37436984700000003,2.620568395082272e-5,1.4873103541054712e-5
