procs,sim_time1,sim_time2,sim_time3,sim_time4,sim_time5,sim_time6,mpi_time1,mpi_time2,mpi_time3,mpi_time4,mpi_time5,mpi_time6,max_error,l2_error
2.0,67.029803307,67.20887397000001,67.06333543699999,67.15509897099999,66.841284723,66.53654507,4.948393852000001,1.626566928,0.630577843,1.131765802,1.262400388,0.9922860630000001,0.0001038055418298705,3.3195147269370184e-5
4.0,33.510337526,33.869045979,33.53360919400001,33.605267754,34.111136025,33.632728734,9.308064505999997,1.702596756,3.094380771,2.275321262,1.8345450710000002,1.9221119090000003,1.8313011025671484e-5,3.7317364910802302e-6
8.0,17.175058439,17.259821198,17.268482979,17.26742359,17.660379724,17.273653634,9.449111690000002,1.072989833,1.3322529839999997,1.822807961,1.1505101050000002,2.062471664,5.155550456993464e-6,1.0513383241484615e-6
16.0,9.133603306000001,8.789931716,8.905464035,8.781157023,8.743464399,8.785918673,9.267100283,0.9411129010000001,2.121155273,1.628018658,1.4103711939999999,2.81358458,1.7459454589188737e-5,3.6437291896199335e-6
32.0,4.993401686,5.040226531,5.010336349999999,5.023414280000001,5.031622376,5.006665433,8.197653536000002,0.675348047,2.794700591,0.345842123,0.857293522,2.2751402279999997,1.830458993052631e-5,5.863670068482141e-6
64.0,2.431123784,2.4673441119999997,2.449819067,2.397579087,2.431815187,2.461530033,8.312973315,0.598128983,0.40038072500000005,0.741797869,0.8417693730000001,0.32321861099999993,2.1823571312155327e-6,5.433676495609505e-7
128.0,1.291755574,1.2523199929999997,1.246338507,1.25025869,1.2534201170000001,1.2546303399999998,10.1572737,0.341820106,1.5312411979999998,0.9152108450000002,0.468585649,0.35996178900000003,3.7776362552311034e-5,1.1848491264225342e-5
256.0,0.648551779,0.628146701,0.627444669,0.62629411,0.625271724,0.624951693,10.072459800999997,0.44087454400000003,0.8608882370000001,0.258400162,0.470636049,0.24142686400000002,1.7104365703610479e-6,7.25084102901274e-7
512.0,0.28826558999999996,0.286477144,0.287517732,0.287365507,0.28562523500000003,0.28573799400000005,9.483448385000003,0.209658812,0.10639252699999999,0.393790967,0.6201224989999999,0.6482092210000001,3.768745047739151e-5,1.792445092961678e-5
1024.0,0.137144292,0.13869441400000002,0.139576812,0.138834238,0.13943813400000002,0.140063521,9.329951742999999,0.43759913300000003,0.31988382200000004,0.170610913,0.076201352,0.147126101,3.521601504735278e-5,2.0322756363388347e-5
2048.0,0.071875006,0.07266316,0.07292765800000002,0.072799976,0.072782717,0.072725351,8.462881852999997,0.47472695,0.127905753,1.1854145560000002,0.341107928,0.127726204,0.00015772166769921416,5.502761069984403e-5
