procs,sim_time1,sim_time2,sim_time3,sim_time4,sim_time5,sim_time6,mpi_time1,mpi_time2,mpi_time3,mpi_time4,mpi_time5,mpi_time6,max_error,l2_error
2.0,5.226743654999999,5.206803396,5.221846797,5.214588696000001,5.216320302000001,5.216649889999999,3.036054553,0.036021794,0.029857866,0.044654093000000006,0.048551126,0.050210181000000007,0.00010399179866172008,3.272771965349125e-5
4.0,2.409388909,2.39633596,2.397409336,2.396301427,2.3976778979999995,2.396127416,3.8305101299999995,0.10614181699999999,0.10471802799999999,0.10568842800000001,0.129277488,0.10742319999999998,0.00010399179866172008,4.436835677513083e-5
8.0,1.198475574,1.1418899290000002,1.141324349,1.141664359,1.1421009459999998,1.143212721,4.232771119000001,0.629541636,0.336279717,0.345119435,0.340940217,0.34383670899999996,5.280757814307007e-6,1.1262575752156197e-6
16.0,0.5854347700000001,0.572213777,0.572213418,0.572136653,0.572242787,0.572199585,4.105256843999999,0.077251677,0.078956764,0.06794038399999999,0.066561171,0.07476478600000001,0.00014367525052605347,4.641308448278299e-5
32.0,0.268435565,0.266400122,0.264752547,0.264989716,0.264601603,0.26430599,4.379481408,0.19452431700000003,0.019848392999999995,0.03869526699999999,0.020706927,0.020230879999999996,2.3219122876709547e-6,8.416320040789792e-7
64.0,0.13829996,0.13765625,0.137666352,0.137728456,0.13773740899999998,0.137677667,4.733637459,0.014648511999999999,0.014788931,0.015133112,0.0146045,0.015565510000000001,2.7451626012447736e-6,7.996803915361893e-7
128.0,0.066402042,0.05833641999999999,0.05837489600000001,0.058229257000000006,0.058215883999999996,0.058094955999999996,5.414768787000001,0.012985571000000001,0.012550163,0.012571872999999999,0.012455493000000002,0.062325069999999996,2.631610403434926e-6,1.1059212129045233e-6
256.0,0.03289591,0.029203765000000003,0.029145733,0.029244206,0.029209678,0.029233043999999996,5.335565902,0.007127559,0.007152491000000001,0.006483719000000001,0.006727431,0.006355889,1.687236756326571e-6,1.111854935929306e-6
512.0,0.022093452,0.019447383,0.019385660000000002,0.019389971,0.019363913,0.01929576,6.402932551,0.013663078,0.013647167,0.013413452000000001,0.013436464000000002,0.013295927999999999,2.794025972868892e-5,1.1366396697198785e-5
1024.0,0.009023103999999999,0.007817626999999999,0.007833021,0.007791246,0.007768915,0.007790448,6.479479574000001,0.01963389,0.020074677000000003,0.019598201,0.019265364,0.019555516,3.226857567455101e-5,1.5556555074065516e-5
2048.0,0.009262696,0.008434846000000001,0.008459643,0.008501304,0.00854622,0.00836036,6.503340003999998,0.033926729,0.052182476,0.039887195,0.05080833100000001,0.029318327000000005,0.000123115888758813,4.70143763055066e-5
