Time: 20220904_141254 
Machine: cori-haswell
Resolution: 512x512
Horizontal cells: 262144
Run duration: ['00', '10', '00']
Run time in sec: 600
Format: #Procs|Sample Runs|Average|SYPD | Halos 
4096 	0.10330 	0.10104 	0.09725 	0.09717 	0.09742 	0.099236 	 16.564912092772342 	0.048058000000000003 
2048 	0.18516 	0.18441 	0.18531 	0.18709 	0.18470 	0.18533399999999997 	 8.869584730477712 	0.08088399999999998 
1024 	0.35963 	0.35810 	0.35849 	0.36128 	0.35741 	0.358982 	 4.579158889410489 	0.14318 
512 	0.68506 	0.69419 	0.68288 	0.69431 	0.68379 	0.6880459999999999 	 2.3891362153669324 	0.27111399999999997 
256 	1.30666 	1.30340 	1.30698 	1.30403 	1.30675 	1.305564 	 1.2590999877741391 	0.41948799999999997 
128 	2.49932 	2.52550 	2.50505 	2.49755 	2.51934 	2.5093520000000002 	 0.6550837094350876 	0.49566799999999994 
64 	4.96411 	4.97611 	4.95648 	4.96290 	4.95426 	4.962771999999999 	 0.3312333543508258 	1.182318 
32 	4.80765 	4.80930 	4.80099 	4.84605 	4.82825 	4.818448 	 0.3411545826453572 	0.49210199999999993 
16 	10.23488 	10.22965 	10.22301 	10.23829 	10.39294 	10.263754 	 0.16015929614431096 	0.566948 
8 	14.13913 	14.18663 	14.30521 	14.15882 	14.12314 	14.182585999999997 	 0.11590521054752333 	0.5126599999999999 
4 	22.52311 	22.78341 	22.51303 	22.71840 	22.55669 	22.618928 	 0.07267522211655461 	0.5149560000000001 
2 	40.59956 	41.03422 	41.04259 	40.89577 	40.46849 	40.808126 	 0.04028206579342448 	0.39768400000000004
