procs,sim_time1,sim_time2,sim_time3,sim_time4,sim_time5,sim_time6,sim_time7,sim_time8,sim_time9,sim_time10,sim_time11,sim_time12,mpi_time1,mpi_time2,mpi_time3,mpi_time4,mpi_time5,mpi_time6,mpi_time7,mpi_time8,mpi_time9,mpi_time10,mpi_time11,mpi_time12,max_error,l2_error
2.0,17.171913721,16.921455401000003,17.454966013,16.933074712,17.003763946,16.999274817,16.994672768999997,17.000661323999996,16.923565498,16.998703067,16.987668671999998,17.011953956,4.2037633549999995,0.041206641,0.04367747100000001,0.03436512,0.036250922000000005,0.036110002999999995,0.677493413,0.019544508000000002,0.018154434,0.094057545,0.019571631000000003,0.019478884000000002,0.00018132034455056335,6.079971447434768e-5
4.0,8.219242994,8.25752108,8.245506813,8.246235044,8.255512276000001,8.242793305,8.374900575,8.383498248,8.258999782,8.220594081999998,8.275477186,8.271584598999999,8.2016508,0.288527938,0.263862403,0.763595696,0.277907533,0.7262977369999999,0.243337129,0.258205129,0.596099489,0.270550795,0.262846966,0.5384640909999999,3.484663981628973e-5,7.057911647169501e-6
8.0,4.446666464,4.534381140000001,4.47396808,4.506226332000001,4.5501748520000005,4.459378205,4.5050758779999995,4.481465227,4.48622592,4.506500701999999,4.540226264999999,4.489567557,7.477821653000001,1.1437812370000002,0.030733904,0.173372533,0.08144631000000001,0.918898951,0.105264253,0.680458445,0.091997265,0.099419502,0.149501234,0.11268528299999998,3.37112087577177e-5,7.146742236343242e-6
16.0,2.091259642,2.115926269,2.115341825,2.112626974,2.083151549,2.1194972260000005,2.120662318,2.109355937,2.1246267779999997,2.147590392,2.1084965459999996,2.121468426,7.958961865,0.245957865,0.172383576,0.4233275650000001,0.37531743100000003,0.283437518,0.9951382750000001,1.283878378,0.23603648700000004,0.240210531,0.346575378,0.504870096,9.390669970022782e-5,2.0686461650453767e-5
32.0,1.205377952,1.167454541,1.165957969,1.186190857,1.186594914,1.1866491170000002,1.180204199,1.169091398,1.184163429,1.2354094450000002,1.167373545,1.166270593,7.801710045,0.21420973199999999,0.42317882,0.22367466,0.231853191,0.33401806799999995,0.315764962,0.8250622610000001,0.303240813,0.253903352,0.297628874,0.297097818,2.32854747372812e-5,4.896747936440693e-6
64.0,0.625599336,0.637946099,0.635319642,0.618891955,0.634030773,0.6333966530000001,0.6675504539999999,0.622669021,0.625439953,0.615692095,0.6241053799999999,0.629380762,8.173488784,0.36436902,0.181900749,0.23602646400000002,0.19912846199999998,0.3573584209999999,0.288035707,0.255313976,0.16384230700000002,0.28491753500000006,0.364229247,0.2585134090000001,2.0161244484427914e-5,6.14084996083375e-6
128.0,0.299458423,0.284825842,0.283827385,0.28127200300000005,0.28450927099999995,0.28346722900000004,0.283355284,0.281922429,0.28152400499999997,0.281359772,0.27897746300000004,0.282956207,8.834163833999996,0.09996981800000002,0.500737041,0.387764104,0.23746456,0.10668320199999999,0.16221830099999998,0.160323175,0.18324292699999997,0.412880594,0.396012877,0.294047217,0.00023125435969637963,7.990530822256245e-5
256.0,0.160882824,0.15627688,0.15609114400000001,0.15701483300000002,0.15894485800000002,0.157873178,0.15778393699999999,0.154822886,0.15882131500000002,0.156176466,0.158152598,0.15781957700000002,8.260441873,0.103742011,0.109529495,0.113551967,0.387245618,0.6586230240000001,0.352105582,0.10980078300000001,0.06186101199999999,0.144539841,0.122164107,0.094925153,0.00024794601287727257,8.258717659410073e-5
512.0,0.076763549,0.07235596700000001,0.071958798,0.072410016,0.072104442,0.071581588,0.07308788199999999,0.07442782199999999,0.07475572,0.074374915,0.075021487,0.07455182,8.454154527999998,0.40835058999999996,0.29212625000000003,0.32190828600000004,0.19087283600000002,0.09289081199999999,0.162714468,0.526312627,0.615425084,0.206039951,0.388040803,0.23410495199999995,2.723339301287731e-5,1.013330085268864e-5
1024.0,0.041837797,0.041027096,0.041758148,0.041291961,0.041508131000000004,0.041605066,0.041447404,0.041986895,0.040990045,0.040778704,0.04099842599999999,0.04114647600000001,8.39677541,0.10495136,0.3096588,0.11674850900000001,0.13335246299999998,0.110039378,0.08786134,0.13629214,0.2611038260000001,0.060574092999999996,0.27848382499999996,0.695617358,2.3040880371328043e-5,9.521664554854001e-6
2048.0,0.028300193000000005,0.02691435,0.026750367999999997,0.026879311,0.027572171,0.026394123,0.026306499,0.026466104000000004,0.02707412,0.027140595,0.026888018,0.026695198999999996,8.573780747,0.113720391,0.10298562100000001,0.089860169,0.08453358200000001,0.13728125800000002,0.183011214,0.263135342,0.291231862,0.425358128,0.372032292,0.506502797,3.871695878630369e-5,1.9516612417810092e-5
